Drug,SELFIES
DB00545,[C][N+1][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][Branch1][C][C][C]
DB00549,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=C][N][Branch2][Ring1][#Branch2][C][=C][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][Branch1][C][O][C]
DB00550,[C][C][C][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=S][N][Ring1][Branch2]
DB00552,[C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Ring2][O][C][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1][N][C][=N][C][C][Ring1][#Branch1][O][C][O][O]
DB00553,[C][O][C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][Branch1][C][=C][C][=Branch1][C][=O][O][Ring1][=N]
DB00554,[C][N][C][=Branch2][Ring1][Ring2][=C][Branch1][S][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][#Branch2][=Branch1][C][=O][=O][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1]
DB00555,[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][C][=C][Branch1][#Branch2][N][=C][Branch1][Branch1][N][=N][Ring1][=Branch1][N][N]
DB00557,[C][C][N][Branch1][N][C][C][N][Ring1][=Branch1][C][C][O][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00558,[C][C][=Branch1][C][=O][N][C][C][Branch2][Ring1][Branch2][C][=C][Branch1][#C][O][C][Ring1][=Branch1][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O][C][=Branch1][C][=O][O][N][=C][Branch1][C][N][N]
DB00559,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][S][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=N][C][=C][C][=N][Ring1][=Branch1][O][C][C][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C]
DB00561,[C][C][N][C][C][Branch2][Ring1][#Branch2][C][Branch1][Branch1][C][Ring1][Branch1][=O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][C][O][C][C][Ring1][=Branch1]
DB00563,[C][N][Branch2][Ring1][Branch2][C][C][=C][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
DB00564,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][N][C][=Branch1][C][=O][N]
DB00565,[C][N+1][Branch2][Ring2][=Branch2][C][C][C][=C][C][=Branch2][Ring1][#C][=C][Branch2][Ring1][=Branch2][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C][O][C][O][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][N+1][Branch2][Ring2][=Branch2][C][C][C][=C][C][=Branch2][Ring1][#C][=C][Branch2][Ring1][=Branch2][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C][O][C][O][C][C]
DB00570,[C][C][C][Branch2][Branch2][O][C][C][C][C][Branch2][Ring1][O][C][=C][Branch1][N][C][C][N][Branch1][Ring2][C][Ring1][=Branch2][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=C][Branch2][Branch1][P][C][=C][Branch2][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][C][Ring1][Branch1][C][Branch1][=Branch1][C][=C][C][Ring1][=Branch1][Branch2][Ring1][=C][C][Branch2][Ring1][Ring2][C][Branch1][Branch2][C][Ring1][N][N][Ring1][S][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][O][O][C][=Branch1][C][=O][C][C][C][O][C][C][=Branch1][C][=O][O][C][O]
DB00571,[C][C][Branch1][C][C][N][C][C][Branch1][P][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][O]
DB00572,[C][N][C][C][C][C][Ring1][Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00575,[C][C][N][=C][Branch1][Ring2][N][Ring1][Branch1][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl]
DB00576,[C][C][=N][N][=C][Branch1][Ring2][S][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N]
DB00580,[C][C][=C][Branch1][S][C][=Branch1][Branch1][=N][O][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N]
DB00582,[C][C][Branch1][#Branch2][C][=N][C][=N][C][=C][Ring1][=Branch1][F][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][#C][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][F][O]
DB00583,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][O]
DB00584,[C][C][O][C][=Branch1][C][=O][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][O]
DB00585,[C][N][C][=Branch1][#Branch1][=C][N+1][=Branch1][C][=O][O-1][N][C][C][S][C][C][=C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][C][N][Branch1][C][C][C]
DB00586,[C][=C][C][=C][Branch1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl]
DB00588,[C][C][C][=Branch1][C][=O][O][C][Branch2][Ring2][S][C][Branch2][Ring2][O][C][C][C][Ring1][Branch1][Branch2][Ring2][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Ring1][=Branch1][C][C][Branch1][#C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Ring1][O][C][F][F][O][C][C][C][=Branch1][C][=O][S][C][F]
DB00590,[C][O][C][=C][Branch2][Ring2][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch2][Ring2][Ring2][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2][N][O][C]
DB00591,[C][C][Branch2][Branch1][=C][O][C][C][C][C][C][C][Branch2][Branch1][Ring1][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring2][Ring2][C][Ring1][O][Branch2][Ring1][=N][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][F][C][F][C]
DB00593,[C][C][C][Branch1][O][C][C][=Branch1][C][=O][N][C][Ring1][=Branch1][=O][C]
DB00594,[C][=Branch1][P][=C][Branch1][=N][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][N][C][=Branch1][C][=O][N][=C][Branch1][C][N][N]
DB00596,[C][C][C][C][C][C][C][Branch2][Ring2][S][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][P][C][Ring1][O][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][C][Ring1][#C][Branch1][=C][C][Ring2][Ring1][C][Branch1][#Branch1][C][=Branch1][C][=O][C][Cl][O][C][O][F][C][F]
DB00600,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O]
DB00601,[C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][=Branch1][C][=C][C][=Branch1][S][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][F]
DB00603,[C][C][C][C][C][Branch2][Ring1][=N][C][C][C][Branch2][Ring1][=Branch1][C][Ring1][=Branch1][C][C][C][Ring1][Branch1][Branch1][=Branch1][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][C][C][Branch1][=C][C][Ring2][Ring1][Branch1][=C][C][=Branch1][C][=O][C][C][Ring1][#Branch1][C]
DB00605,[C][C][=C][Branch2][Ring2][C][C][=C][Branch2][Ring1][Ring2][C][Ring1][Branch1][=C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][C][C][=C][C][=Branch1][Ring2][=C][Ring1][P][F][C][C][=Branch1][C][=O][O]
DB00608,[C][C][N][Branch1][Ring1][C][C][C][C][C][C][Branch1][C][C][N][C][=C][C][=C][C][=Branch1][#Branch2][=C][C][Ring1][=Branch1][=N][C][=C][Ring1][#Branch2][Cl]
DB00609,[C][C][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=S][N]
DB00612,[C][C][Branch1][C][C][N][C][C][Branch2][Ring1][#Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O][C][C][O][C][Branch1][C][C][C][O]
DB00615,[C][C][C][=C][C][=C][Branch2][Branch2][=N][C][=Branch1][C][=O][N][=C][C][=Branch2][Branch2][C][=C][C][=Branch2][Ring1][O][=C][C][Ring1][=Branch1][=N][C][Branch1][Ring2][N][Ring1][Branch1][C][C][N][Branch1][Branch1][C][C][Ring1][#Branch1][C][C][Branch1][C][C][C][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][Ring2][Ring1][Ring2][O][C][O][C][Branch1][Branch1][C][Ring1][=Branch2][=O][Branch2][Ring2][#Branch2][O][C][=C][C][Branch2][Ring1][P][C][Branch2][Ring1][N][C][Branch2][Ring1][C][C][Branch1][=C][C][Branch1][#Branch2][C][Branch1][=Branch1][C][Ring2][Ring2][=C][O][C][O][C][O][C][=Branch1][C][=O][C][C][O][C][C][O][C]
DB00619,[C][C][=C][Branch2][Ring2][Ring2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1]
DB00620,[C][C][C][C][Branch2][Ring2][#C][C][Branch2][Ring2][#Branch2][C][Branch2][Ring1][Branch1][C][Ring1][=Branch1][C][C][Branch1][=N][C][Ring1][=Branch2][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][O][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Ring2][Ring1][Branch1][C][F][O]
DB00621,[C][C][C][C][C][C][Branch1][=N][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][Branch1][C][C][O][C][C][C][C][Ring1][N][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][Ring1][#Branch1][C]
DB00622,[C][C][=C][Branch2][Branch1][C][C][Branch2][Ring1][#C][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C]
DB00623,[C][C][N][Branch2][Ring2][#Branch1][C][C][N][Ring1][=Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][C][O]
DB00624,[C][C][C][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][S][Ring1][#Branch1][C]
DB00626,[C][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch2][O][Ring2][C][=Branch1][C][=O][N][C][Branch2][#Branch2][Ring1][C][=Branch1][C][=O][N][C][Branch2][=Branch2][Ring2][C][=Branch1][C][=O][N][C][Branch2][Branch2][Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][S][C][C][C][N][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][Branch1][C][C][C][C][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][C][Branch1][#Branch1][C][Branch1][C][C][C][C][N][C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][C][C][=C][N][=C][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00627,[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][O]
DB00630,[C][Branch2][Ring1][Branch2][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][N]
DB00631,[C][=N][C][=C][Branch2][Ring1][#C][N][=C][Branch2][Ring1][=Branch2][N][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][F][Cl][N]
DB00633,[C][C][=C][Branch2][Ring1][Ring2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][=C][N][=C][N][Ring1][Branch1][C]
DB00635,[C][C][C][C][=Branch1][C][=O][C][C][Branch2][Ring1][C][C][Ring1][#Branch1][C][C][C][Ring1][#Branch2][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring2][Ring1][Ring2][Ring1][#Branch1][C]
DB00636,[C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00640,[C][=N][C][=Branch2][Ring1][S][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][Branch1][Branch1][C][=N][Ring1][=Branch1][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][N]
DB00641,[C][C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][C][Branch2][Ring1][P][C][=C][C][Ring1][=Branch1][C][Branch1][=Branch2][C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Branch1][=Branch2][C][C][=Branch1][C][=O][O][Ring1][#Branch1][O][C]
DB00642,[C][=C][C][=Branch2][Ring1][O][=C][C][=C][Ring1][=Branch1][C][C][C][=C][N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
DB00643,[C][O][C][=Branch1][C][=O][N][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00645,[C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][N][C][C][C][C][C][Ring1][=Branch1]
DB00648,[C][=C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][Cl][Cl][Cl]
DB00651,[C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][Branch1][Branch1][C][Ring1][#Branch1][=O][C][N][Branch1][Branch1][C][=N][Ring1][O][C][C][Branch1][Ring1][C][O][O]
DB00655,[C][C][C][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][=O][C][C][C][=C][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O]
DB00656,[C][C][N][Branch2][Ring1][=Branch2][C][C][N][Ring1][=Branch1][C][C][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Cl]
DB00661,[C][C][Branch1][C][C][C][Branch2][Ring1][#Branch2][C][C][C][N][Branch1][C][C][C][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C][Branch1][Ring1][C][#N][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C]
DB00663,[C][C][C][C][C][C][C][Branch2][Ring2][S][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][P][C][Ring1][O][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][C][Ring1][#C][Branch1][=C][C][Ring2][Ring1][C][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][C][O][F][C][F]
DB00665,[C][C][Branch2][Ring2][Branch2][C][=Branch1][C][=O][N][Branch1][Branch2][C][=Branch1][C][=O][N][Ring1][#Branch1][C][=C][C][=Branch1][=N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][C]
DB00668,[C][N][C][C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][O]
DB00669,[C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=C][Ring1][#Branch1][C][C][N][Branch1][C][C][C]
DB00672,[C][C][C][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00673,[C][C][Branch2][Ring1][=N][C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F][O][C][C][Branch2][Ring1][Ring2][N][Branch1][=Branch1][C][C][O][Ring1][=Branch1][C][C][=N][N][C][=Branch1][C][=O][N][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F]
DB00674,[C][N][C][C][C][C][=C][C][Branch2][Ring1][=Branch2][C][C][Ring1][=Branch1][O][C][=C][Branch1][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=N][Ring1][=Branch1][C][Ring1][P][O][C][O]
DB00675,[C][C][C][=Branch2][Ring1][=C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00679,[C][N][C][C][C][C][C][Ring1][=Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][C]
DB00682,[C][C][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Ring1][#Branch2][=O][O]
DB00688,[C][C][=C][C][O][C][=Branch1][C][=O][C][Ring1][=Branch1][=C][Branch2][Ring1][S][C][=Branch1][=Branch1][=C][Ring1][#Branch2][O][C][C][C][=C][Branch1][C][C][C][C][C][=Branch1][C][=O][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][O]
DB00691,[C][C][O][C][=Branch1][C][=O][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][=C][C][=Branch2][Ring1][Ring1][=C][Branch1][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=Branch1][C][=O][O][O][C][O][C]
DB00692,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][C][=N][C][C][N][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O]
DB00694,[C][C][C][Branch2][=Branch1][Ring2][C][Branch2][Branch1][#C][C][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][Branch2][Ring2][=Branch2][C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][#C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=Branch2][=O][C][=Branch1][=Branch1][=C][C][=C][Ring1][Branch2][O][C][O][Branch1][=Branch1][C][=Branch1][C][=O][C][O][N][O]
DB00695,[C][=C][O][C][=Branch1][Ring2][=C][Ring1][Branch1][C][N][C][=C][C][=Branch2][Ring1][Branch1][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl]
DB00697,[C][C][N][=C][Branch1][Ring2][N][Ring1][Branch1][N][C][=C][Branch1][N][C][=C][C][=N][S][N][=C][Ring1][Branch1][Ring1][=Branch2][Cl]
DB00700,[C][C][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][Branch2][Ring2][C][C][C][Ring1][O][C][Branch1][Ring2][O][Ring1][Ring1][C][C][Branch2][Ring1][C][C][Ring1][#Branch1][C][C][C][Ring1][Branch1][C][C][C][=Branch1][C][=O][O][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C]
DB00701,[C][C][Branch1][C][C][C][N][Branch2][Ring1][S][C][C][Branch2][Ring1][#Branch2][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C][C][C][O][C][Ring1][Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N]
DB00703,[C][C][=Branch1][C][=O][N][=C][N][Branch1][S][N][=C][Branch1][Ring2][S][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C]
DB00704,[C][C][C][Ring1][Ring1][C][N][C][C][C][C][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][Branch2][Ring1][#Branch1][C][Ring1][O][C][C][=C][Ring1][O][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][Ring1][S][O]
DB00706,[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][N][C][Branch1][C][C][C][C][=C][C][=Branch1][#Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][S][=Branch1][C][=O][=Branch1][C][=O][N]
DB00710,[C][C][C][C][C][N][Branch1][C][C][C][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
DB00712,[C][C][Branch2][Ring1][=Branch1][C][=C][C][=Branch1][S][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][O]
DB00715,[C][C][N][C][C][Branch1][#C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1]
DB00717,[C][C][C][C][C][C][Branch1][=C][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][Branch1][Ring1][C][#C][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring2][Ring1][C][Ring1][#Branch1]
DB00719,[C][N][C][C][C][=Branch2][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][N][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1]
DB00721,[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N]
DB00724,[C][C][Branch1][C][C][C][N][C][=N][C][=C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][N]
DB00728,[C][C][=Branch1][C][=O][O][C][C][Branch2][Ring2][=N][C][C][C][Ring1][Branch1][Branch2][Ring2][Ring2][C][C][C][C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][Branch2][Ring1][Ring2][C][C][Branch1][Branch2][C][Branch1][Ring2][C][Ring1][=Branch1][O][N][C][C][O][C][C][Ring1][=Branch1][C][C][N+1][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][C][=C]
DB00730,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][S][C][=N][Ring1][Branch1]
DB00731,[C][C][Branch1][C][C][C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O]
